ID, GeneralWeight, Valence, HappinessWeight, SadnessWeight, AngerWeight, FearWeight, DisgustWeight, SurpriseWeight
mt0000361419,1.0,-1,1.0,1.0,0.9,1.0,0.7,0.0
mt0000371043,1.0,-1,0.8,1.0,0.9,1.0,0.7,0.02702702702702703
mt0000380971,1.0,1,1.0,0.26666666666666666,0.06923076923076923,0.042105263157894736,0.08888888888888889,0.06153846153846154
mt0000391566,1.0,-1,0.6,1.0,0.125,0.09,0.16000000000000003,0.16000000000000003
mt0000398595,1.0,-1,1.0,1.0,0.9,1.0,1.0,0.06153846153846154
mt0000402499,1.0,-1,0.32,1.0,0.16,0.16,0.9,0.06
mt0000409922,1.0,1,1.0,0.26666666666666666,0.1111111111111111,0.09000000000000001,0.04000000000000001,0.15
mt0000412380,1.0,-1,1.0,1.0,1.0,0.45,1.0,0.26666666666666666
mt0000421504,1.0,-1,0.26666666666666666,1.0,0.125,0.125,0.01875,0.125
mt0000425270,1.0,-1,1.0,1.0,1.0,1.0,1.0,0.18000000000000002
mt0000431226,1.0,-1,1.0,1.0,0.9,0.9,0.7,0.225
mt0000436815,1.0,1,1.0,0.26666666666666666,0.26666666666666666,0.15,0.18000000000000002,0.0
mt0000447539,1.0,1,1.0,0.26666666666666666,0.0,0.0,0.0,0.0
mt0000463371,1.0,1,1.0,1.0,0.5,1.0,0.25,0.1
mt0000464234,1.0,-1,1.0,1.0,1.0,1.0,0.25,1.0
mt0000475876,1.0,-1,0.45,1.0,0.5,0.5,0.5,0.09000000000000001
mt0000489470,1.0,-1,1.0,0.3333333333333333,0.26666666666666666,0.2,0.2,0.06153846153846154
mt0000495842,1.0,1,1.0,0.8,0.4,0.4,0.4,0.06153846153846154
mt0000502143,1.0,-1,0.3333333333333333,0.8571428571428571,0.14285714285714285,0.7857142857142857,0.14285714285714285,1.0
mt0000515256,1.0,-1,1.0,1.0,0.09090909090909091,0.225,0.05,0.0
mt0000518591,1.0,1,1.0,1.0,0.5,0.5,0.5,1.0
mt0000526302,1.0,1,1.0,0.26666666666666666,1.0,0.13333333333333333,0.13333333333333333,0.15428571428571428
mt0000526867,1.0,1,1.0,0.26666666666666666,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.09090909090909091
mt0000530706,0.45,-1,0.45,0.09,0.09090909090909091,0.09,0.0,0.06153846153846154
mt0000552259,1.0,1,1.0,1.0,0.5,0.5,0.5,0.021739130434782608
mt0000553622,1.0,-1,0.26666666666666666,0.4,1.0,0.11666666666666665,0.22499999999999998,0.175
mt0000564376,1.0,-1,1.0,1.0,0.75,0.75,0.75,0.06153846153846154
mt0000567692,1.0,-1,0.16000000000000003,1.0,0.125,0.24000000000000005,0.24000000000000005,0.125
mt0000570966,1.0,1,1.0,1.0,1.0,1.0,0.2,0.06153846153846154
mt0000580738,1.0,-1,1.0,1.0,0.7,1.0,0.7,0.06153846153846154
mt0000592222,1.0,-1,0.26666666666666666,1.0,0.09000000000000001,1.0,0.0625,0.045000000000000005
mt0000599398,1.0,-1,1.0,1.0,0.15,1.0,0.2,0.09000000000000001
mt0000603187,1.0,-1,0.8,0.5,0.2,0.15,0.2,0.12857142857142856
mt0000604234,1.0,-1,1.0,1.0,0.5,1.0,0.2,0.0
mt0000606812,1.0,1,1.0,1.0,0.5,0.5,0.5,0.045000000000000005
mt0000630628,1.0,-1,0.13333333333333333,0.06923076923076923,0.16000000000000003,1.0,0.16666666666666666,0.2
mt0000633351,1.0,1,1.0,0.3333333333333333,0.125,0.125,0.125,0.0
mt0000638424,1.0,1,1.0,0.96,1.0,1.0,0.84,0.18
mt0000638634,1.0,1,1.0,1.0,0.5,0.5,0.5,0.1
mt0000643201,0.8,-1,0.8,0.26666666666666666,0.7,0.8,0.7,0.04081632653061224
mt0000652082,1.0,1,1.0,0.3333333333333333,0.1,0.08181818181818182,0.06666666666666667,0.0
mt0000666429,1.0,-1,1.0,1.0,1.0,0.45,0.45,0.06153846153846154
mt0000667625,1.0,1,1.0,0.1565217391304348,0.4,0.16,0.27,0.12857142857142856
mt0000670865,1.0,-1,1.0,1.0,0.75,1.0,0.75,0.09000000000000001
mt0000685324,1.0,-1,1.0,1.0,0.5,0.5,0.5,0.034999999999999996
mt0000685538,1.0,-1,0.8,1.0,0.2,0.0,0.08888888888888889,0.06153846153846154
mt0000688115,1.0,-1,1.0,1.0,0.5,0.5,0.5,0.05333333333333334
mt0000688312,1.0,-1,0.8,1.0,0.9,0.9,0.7,0.016
mt0000689110,0.6,-1,0.25,0.6,0.08888888888888889,0.15,0.15,0.08888888888888889
mt0000690637,1.0,-1,1.0,1.0,0.4,0.4,1.0,0.06153846153846154
mt0000704913,1.0,-1,1.0,1.0,0.75,0.75,0.75,0.0
mt0000707663,1.0,1,1.0,0.2,0.0,0.0,0.2,0.1125
mt0000712071,1.0,1,1.0,0.09090909090909091,0.1,0.05,0.05,0.0
mt0000714708,0.7142857142857143,-1,0.15,0.19999999999999998,0.14285714285714285,0.15,0.15,0.0
mt0000720686,1.0,1,1.0,0.26666666666666666,0.18000000000000002,0.08181818181818182,0.045454545454545456,0.0
mt0000721873,1.0,1,1.0,0.135,0.1,0.125,0.049999999999999996,0.045000000000000005
mt0000728975,1.0,1,1.0,1.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.05333333333333334
mt0000734482,0.9,-1,0.8,0.8,0.9,0.9,0.7,0.07142857142857142
mt0000744293,0.8,-1,0.8,0.2222222222222222,0.09090909090909091,0.21428571428571427,0.2,0.16666666666666666
mt0000747666,1.0,1,1.0,1.0,0.5,1.0,0.5,0.225
mt0000753074,1.0,1,1.0,0.23529411764705882,0.225,0.225,0.175,0.02702702702702703
mt0000766316,1.0,1,1.0,1.0,0.5,0.5,0.5,0.3
mt0000775053,1.0,1,1.0,0.26666666666666666,0.11428571428571428,0.2571428571428571,0.05,0.15
mt0000776108,1.0,-1,0.8,1.0,0.2,0.1125,0.05,0.06153846153846154
mt0000783307,1.0,-1,0.5,0.3333333333333333,1.0,0.26666666666666666,1.0,1.0
mt0000787002,1.0,-1,1.0,1.0,0.14117647058823532,1.0,0.10588235294117647,0.0
mt0000789330,1.0,1,1.0,0.26666666666666666,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.12857142857142856
mt0000814289,1.0,-1,1.0,1.0,0.1,0.18181818181818182,0.025,0.021739130434782608
mt0000832464,1.0,-1,1.0,1.0,0.9,0.9,0.7,0.06153846153846154
mt0000842929,1.0,1,1.0,1.0,0.5,0.5,0.5,0.6000000000000001
mt0000844574,1.0,-1,1.0,1.0,0.5,0.5,0.5,0.06153846153846154
mt0000847731,1.0,1,0.6,1.0,0.11428571428571428,0.2571428571428571,0.0,0.0
mt0000850050,0.9,-1,0.8,0.8,0.9,0.9,0.7,0.016
mt0000851865,0.6,1,0.6,0.26666666666666666,0.26666666666666666,0.2571428571428571,0.18000000000000002,0.032432432432432434
mt0000853072,1.0,-1,1.0,1.0,0.5,0.16000000000000003,0.16000000000000003,0.04
mt0000857760,0.6666666666666666,-1,0.0,0.06153846153846154,0.07692307692307693,0.6666666666666666,0.06153846153846154,0.0
mt0000863232,1.0,-1,1.0,0.26666666666666666,0.11428571428571428,0.21428571428571427,0.12857142857142856,0.07142857142857142
mt0000871290,1.0,1,1.0,0.26666666666666666,0.13333333333333333,0.2571428571428571,1.0,0.06153846153846154
mt0000874328,0.75,1,0.6,0.14814814814814814,0.09000000000000001,0.09000000000000001,0.05,0.045000000000000005
mt0000874482,0.75,-1,0.26666666666666666,0.3333333333333333,0.5,0.13999999999999999,0.2,0.06153846153846154
mt0000875199,1.0,-1,1.0,1.0,1.0,1.0,0.16000000000000003,0.15
mt0000875520,1.0,-1,0.26666666666666666,1.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.06363636363636363
mt0000878275,1.0,-1,0.13636363636363635,1.0,0.125,0.2571428571428571,1.0,0.06153846153846154
mt0000886390,1.0,-1,1.0,0.8,0.9,0.9,0.7,0.06153846153846154
mt0000889229,1.0,1,1.0,1.0,0.06818181818181818,0.13999999999999999,0.09090909090909091,0.15
mt0000895905,1.0,-1,0.15,1.0,0.09090909090909091,1.0,0.15,0.06153846153846154
mt0000903225,1.0,-1,1.0,1.0,0.11428571428571428,1.0,0.4,0.06153846153846154
mt0000927561,1.0,-1,0.225,1.0,0.1111111111111111,0.058823529411764705,0.45,0.0
mt0000931402,1.0,-1,1.0,1.0,0.9,1.0,0.7,0.0
mt0000948111,1.0,-1,1.0,1.0,1.0,0.45,0.45,0.06153846153846154
mt0000950090,1.0,1,1.0,0.26666666666666666,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.05333333333333334
mt0000951610,1.0,-1,1.0,1.0,0.5,0.5,0.5,0.16666666666666666
mt0000968326,0.4444444444444444,-1,0.19999999999999998,0.19999999999999998,0.09090909090909091,0.07777777777777777,0.08888888888888889,0.06153846153846154
mt0000971800,1.0,1,1.0,0.26666666666666666,0.225,0.2857142857142857,0.175,0.16000000000000003
mt0000983092,1.0,-1,1.0,1.0,0.5,0.5,0.5,0.4
mt0001020011,1.0,1,1.0,0.02903225806451613,0.13333333333333333,0.13333333333333333,0.0,0.02903225806451613
mt0001030436,1.0,1,1.0,0.016,0.175,0.013999999999999999,0.2,0.016
mt0001032211,0.26666666666666666,1,0.2,0.2,0.05625,0.11428571428571428,0.05,0.0
mt0001043721,1.0,-1,1.0,1.0,1.0,1.0,1.0,1.0
mt0001062700,1.0,1,1.0,1.0,0.5,0.5,0.5,0.02702702702702703
mt0001073553,1.0,-1,1.0,1.0,0.12857142857142856,1.0,0.2,0.19999999999999998
mt0001096019,1.0,-1,1.0,1.0,0.5,0.5,0.5,0.06153846153846154
mt0001101467,1.0,-1,1.0,1.0,1.0,0.6,1.0,1.0
mt0001102610,0.9,-1,0.8,0.8,0.9,0.9,0.7,0.02702702702702703
mt0001104467,1.0,1,0.6666666666666666,0.26666666666666666,0.13333333333333333,0.225,0.13333333333333333,1.0
mt0001106114,1.0,-1,1.0,1.0,0.24,0.36,0.36,0.12857142857142856
mt0001117815,1.0,1,1.0,1.0,0.7,1.0,0.7,0.09000000000000001
mt0001126926,1.0,-1,0.09999999999999999,1.0,0.08307692307692308,0.07777777777777777,0.0225,0.07384615384615385
mt0001137053,0.75,-1,0.09999999999999999,0.135,0.09000000000000001,0.1125,0.05,0.045000000000000005
mt0001141875,1.0,-1,1.0,1.0,0.09090909090909091,0.1125,0.04736842105263158,0.09000000000000001
mt0001152664,0.6,1,0.6,0.06153846153846154,0.03076923076923077,0.03076923076923077,0.03076923076923077,0.11428571428571428
mt0001153847,0.625,-1,0.45,0.26666666666666666,0.08888888888888889,0.125,0.08888888888888889,0.19999999999999998
mt0001157069,1.0,-1,0.8,1.0,0.9,1.0,0.7,0.04
mt0001193202,1.0,-1,1.0,1.0,0.09000000000000001,0.25,0.25,0.06153846153846154
mt0001194164,1.0,-1,1.0,1.0,0.5,1.0,0.5,0.225
mt0001202986,1.0,1,1.0,0.26666666666666666,0.2,0.2571428571428571,0.08888888888888889,0.06153846153846154
mt0001232924,1.0,1,1.0,1.0,0.5,0.5,0.5,0.0
mt0001236337,1.0,1,1.0,1.0,0.2,1.0,0.05714285714285715,0.06153846153846154
mt0001243097,1.0,-1,1.0,1.0,0.9,1.0,0.7,0.3
mt0001265984,1.0,1,1.0,0.8,1.0,0.8,0.26666666666666666,0.021739130434782608
mt0001266436,1.0,1,0.9,1.0,0.5,0.5,0.5,0.06153846153846154
mt0001277283,1.0,1,1.0,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.15
